"Adults age 18 and older who went without care because of cost in past year
"
"Adults who went without care because of cost"
2015,Kansas,all,All,11.1
2016,Kansas,all,All,11.7
2017,Kansas,all,All,12.2
2018,Kansas,all,All,12.2
2019,Kansas,all,All,13.2
2020,Kansas,all,All,10.3
2021,Kansas,all,All,10
2012,Kentucky,all,All,19.2
2013,Kentucky,all,All,18.8
2014,Kentucky,all,All,15.9
2015,Kentucky,all,All,12.3
2016,Kentucky,all,All,12.2
2017,Kentucky,all,All,12.4
2018,Kentucky,all,All,12.7
2019,Kentucky,all,All,12.2
2020,Kentucky,all,All,9.8
2021,Kentucky,all,All,8.9
2012,Louisiana,all,All,18.7
2013,Louisiana,all,All,20.4
2014,Louisiana,all,All,17.5
2015,Louisiana,all,All,16.4
2016,Louisiana,all,All,17.7
2017,Louisiana,all,All,17.3
2018,Louisiana,all,All,15
2019,Louisiana,all,All,14.8
2020,Louisiana,all,All,11.6
2021,Louisiana,all,All,11.7
2012,Maine,all,All,11.2
2013,Maine,all,All,10.1
2014,Maine,all,All,10.9
2015,Maine,all,All,9.3
2016,Maine,all,All,10.8
2017,Maine,all,All,11.7
2018,Maine,all,All,11.7
2019,Maine,all,All,12.3
2020,Maine,all,All,9.4
2021,Maine,all,All,7.7
2012,Maryland,all,All,11.7
2013,Maryland,all,All,12.9
2014,Maryland,all,All,10.1
2015,Maryland,all,All,10.8
2016,Maryland,all,All,10.8
2017,Maryland,all,All,10.5
2018,Maryland,all,All,11.3
2019,Maryland,all,All,10.8
2020,Maryland,all,All,8.7
2021,Maryland,all,All,8.8
2012,Massachusetts,all,All,9.3
2013,Massachusetts,all,All,8.6
2014,Massachusetts,all,All,8.4
2015,Massachusetts,all,All,8.5
2016,Massachusetts,all,All,8.8
2017,Massachusetts,all,All,9.3
2018,Massachusetts,all,All,8.8
2019,Massachusetts,all,All,8.7
2020,Massachusetts,all,All,8.3
2021,Massachusetts,all,All,7.3
2012,Michigan,all,All,15.1
2013,Michigan,all,All,15.5
2014,Michigan,all,All,14.6
2015,Michigan,all,All,12.7
2016,Michigan,all,All,12.8
2017,Michigan,all,All,11.4
2018,Michigan,all,All,11.8
2019,Michigan,all,All,11.7
2020,Michigan,all,All,7.9
2021,Michigan,all,All,8
2012,Minnesota,all,All,10.7
2013,Minnesota,all,All,10.3
2014,Minnesota,all,All,9.3
2015,Minnesota,all,All,8.4
2016,Minnesota,all,All,9.5
2017,Minnesota,all,All,9.8
2018,Minnesota,all,All,10
2019,Minnesota,all,All,10.1
2020,Minnesota,all,All,8
2021,Minnesota,all,All,6.6
2012,Mississippi,all,All,21.8
2013,Mississippi,all,All,21.7
2014,Mississippi,all,All,19.5
2015,Mississippi,all,All,18.8
2016,Mississippi,all,All,19.3
2017,Mississippi,all,All,18.3
2018,Mississippi,all,All,17.6
2019,Mississippi,all,All,17.2
2020,Mississippi,all,All,13.8
2021,Mississippi,all,All,13.1
2012,Missouri,all,All,15.3
2013,Missouri,all,All,16.1
2014,Missouri,all,All,13.7
2015,Missouri,all,All,13.8
2016,Missouri,all,All,13.4
2017,Missouri,all,All,13.8
2018,Missouri,all,All,13.3
2019,Missouri,all,All,14.4
2020,Missouri,all,All,12.3
2021,Missouri,all,All,11
2012,Montana,all,All,14.7
2013,Montana,all,All,13.7
2014,Montana,all,All,11.9
2015,Montana,all,All,11.4
2016,Montana,all,All,11.4
2017,Montana,all,All,11.5
2018,Montana,all,All,10.1
2019,Montana,all,All,10.3
2020,Montana,all,All,9
2021,Montana,all,All,7.7
2012,Nebraska,all,All,12.8
2013,Nebraska,all,All,13
2014,Nebraska,all,All,11.9
2015,Nebraska,all,All,11.5
2016,Nebraska,all,All,12.1
2017,Nebraska,all,All,11.8
2018,Nebraska,all,All,11.9
2019,Nebraska,all,All,12.5
2020,Nebraska,all,All,9.4
2021,Nebraska,all,All,9.1
2012,Nevada,all,All,18.4
2013,Nevada,all,All,17.3
2014,Nevada,all,All,17.2
2015,Nevada,all,All,15.1
2016,Nevada,all,All,16.1
2017,Nevada,all,All,16.8
2018,Nevada,all,All,14.5
2019,Nevada,all,All,15.2
2020,Nevada,all,All,11.1
2021,Nevada,all,All,12.8
2012,"New Hampshire",all,All,13
2013,"New Hampshire",all,All,11.8
2014,"New Hampshire",all,All,11.2
2015,"New Hampshire",all,All,8.8
2016,"New Hampshire",all,All,10.3
2017,"New Hampshire",all,All,9.5
2018,"New Hampshire",all,All,10.6
2019,"New Hampshire",all,All,11.4
2020,"New Hampshire",all,All,9
2021,"New Hampshire",all,All,7
2012,"New Jersey",all,All,15
2013,"New Jersey",all,All,15.4
2014,"New Jersey",all,All,14
2015,"New Jersey",all,All,12.3
2016,"New Jersey",all,All,12.9
2017,"New Jersey",all,All,14
2018,"New Jersey",all,All,12.9
2019,"New Jersey",all,All,
2020,"New Jersey",all,All,10.5
2021,"New Jersey",all,All,9.3
2012,"New Mexico",all,All,18.6
2013,"New Mexico",all,All,18.1
2014,"New Mexico",all,All,17.2
2015,"New Mexico",all,All,13.6
2016,"New Mexico",all,All,12.8
2017,"New Mexico",all,All,13.7
2018,"New Mexico",all,All,13.1
2019,"New Mexico",all,All,13.9
2020,"New Mexico",all,All,9.7
2021,"New Mexico",all,All,8.4
2012,"New York",all,All,15.5
2013,"New York",all,All,14.8
2014,"New York",all,All,14.1
2015,"New York",all,All,12.1
2016,"New York",all,All,11.2
2017,"New York",all,All,11.6
2018,"New York",all,All,11.1
2019,"New York",all,All,11.6
2020,"New York",all,All,8.9
2021,"New York",all,All,8.1
2012,"North Carolina",all,All,18.9
2013,"North Carolina",all,All,18.5
2014,"North Carolina",all,All,16.3
2015,"North Carolina",all,All,15.5
2016,"North Carolina",all,All,16.3
2017,"North Carolina",all,All,16
2018,"North Carolina",all,All,15.1
2019,"North Carolina",all,All,16.1
2020,"North Carolina",all,All,11.4
2021,"North Carolina",all,All,10.8
2012,"North Dakota",all,All,8.1
2013,"North Dakota",all,All,7.2
2014,"North Dakota",all,All,7
2015,"North Dakota",all,All,7.7
2016,"North Dakota",all,All,8.2
2017,"North Dakota",all,All,7.9
2018,"North Dakota",all,All,9.3
2019,"North Dakota",all,All,9.2
2020,"North Dakota",all,All,7.4
2021,"North Dakota",all,All,6.7
2012,Ohio,all,All,14.5
2013,Ohio,all,All,14.7
2014,Ohio,all,All,13.1
2015,Ohio,all,All,10.7
2016,Ohio,all,All,10.8
2017,Ohio,all,All,11.3
2018,Ohio,all,All,10.1
2019,Ohio,all,All,12.2
2020,Ohio,all,All,9.1
2021,Ohio,all,All,8.3
2012,Oklahoma,all,All,18.1
2013,Oklahoma,all,All,17.3
2014,Oklahoma,all,All,15.1
2015,Oklahoma,all,All,15.2
2016,Oklahoma,all,All,15.5
2017,Oklahoma,all,All,16.6
2018,Oklahoma,all,All,14.9
2019,Oklahoma,all,All,16.3
2020,Oklahoma,all,All,14.7
2021,Oklahoma,all,All,14.4
2012,Oregon,all,All,17.7
2013,Oregon,all,All,18.1
2014,Oregon,all,All,14.5
2015,Oregon,all,All,12.9
2016,Oregon,all,All,11
2017,Oregon,all,All,12.8
2018,Oregon,all,All,12.7
2019,Oregon,all,All,13.5
2020,Oregon,all,All,9.8
2021,Oregon,all,All,8.4
2012,Pennsylvania,all,All,12.8
2013,Pennsylvania,all,All,12
2014,Pennsylvania,all,All,11.9
2015,Pennsylvania,all,All,11.7
2016,Pennsylvania,all,All,11.1
2017,Pennsylvania,all,All,10.4
2018,Pennsylvania,all,All,9.5
2019,Pennsylvania,all,All,9.9
2020,Pennsylvania,all,All,7.9
2021,Pennsylvania,all,All,6.8
2012,"Rhode Island",all,All,13.4
2013,"Rhode Island",all,All,14.5
2014,"Rhode Island",all,All,11.9
2015,"Rhode Island",all,All,10.3
2016,"Rhode Island",all,All,10.3
2017,"Rhode Island",all,All,12
2018,"Rhode Island",all,All,10.5
2019,"Rhode Island",all,All,8.7
2020,"Rhode Island",all,All,8.3
2021,"Rhode Island",all,All,6.9
2012,"South Carolina",all,All,20.5
2013,"South Carolina",all,All,19.1
2014,"South Carolina",all,All,18.2
2015,"South Carolina",all,All,16.5
2016,"South Carolina",all,All,15.7
2017,"South Carolina",all,All,15.2
2018,"South Carolina",all,All,15.9
2019,"South Carolina",all,All,15
2020,"South Carolina",all,All,12.6
2021,"South Carolina",all,All,11.9
2012,"South Dakota",all,All,10.8
2013,"South Dakota",all,All,9.7
2014,"South Dakota",all,All,9.9
2015,"South Dakota",all,All,7.8
2016,"South Dakota",all,All,9
2017,"South Dakota",all,All,10
2018,"South Dakota",all,All,10.6
2019,"South Dakota",all,All,9.8
2020,"South Dakota",all,All,8.3
2021,"South Dakota",all,All,7.9
2012,Tennessee,all,All,19.1
2013,Tennessee,all,All,17.6
2014,Tennessee,all,All,15.6
2015,Tennessee,all,All,15.6
2016,Tennessee,all,All,12.3
2017,Tennessee,all,All,15
2018,Tennessee,all,All,16
2019,Tennessee,all,All,15
2020,Tennessee,all,All,12
2021,Tennessee,all,All,11.6
2012,Texas,all,All,20.9
2013,Texas,all,All,19.4
2014,Texas,all,All,17.8
2015,Texas,all,All,18.4
